Episode	Steps	Reward
1740	1740	-16201.0
2071	331	-2966.0
2595	524	-4914.0
5712	3117	-29260.0
9476	3764	-35163.0
9509	33	-211.0
9567	58	-416.0
11287	1720	-16082.0
13103	1816	-16961.0
14736	1633	-15221.0
18416	3680	-34404.0
21654	3238	-30452.0
24613	2959	-27554.0
24741	128	-1125.0
26609	1868	-17589.0
29769	3160	-29645.0
